Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R60,140k 1%,R_0805_2012Metric,200.6,-71.975,-90.0,top
R61,100k 1%,R_0805_2012Metric,198.325,-71.975,-90.0,top
R62,140k 1%,R_0805_2012Metric,198.9375,-56.825,0.0,top
R63,100k 1%,R_0805_2012Metric,199.0,-59.025,0.0,top
R64,100,R_0805_2012Metric,161.400938,-81.04618,0.0,top
R65,100,R_0805_2012Metric,157.375938,-81.04618,180.0,top
R66,200k,R_0805_2012Metric,106.463438,-127.65868,90.0,top
R67,100k,R_0805_2012Metric,109.113438,-139.02118,-90.0,top
R68,200k,R_0805_2012Metric,122.863438,-127.64618,90.0,top
R69,100k,R_0805_2012Metric,120.100938,-138.87118,-90.0,top
R70,66.5k,R_0805_2012Metric,110.763438,-127.65868,-90.0,top
R71,66.5k,R_0805_2012Metric,118.588438,-127.64618,-90.0,top
R72,100,R_0805_2012Metric,113.325938,-64.57118,180.0,top
R73,100,R_0805_2012Metric,117.425938,-64.57118,180.0,top
R74,100,R_0805_2012Metric,113.325938,-69.94618,180.0,top
R75,100,R_0805_2012Metric,117.425938,-69.94618,180.0,top
R76,100,R_0805_2012Metric,113.1316,-75.5904,180.0,top
R77,100,R_0805_2012Metric,117.425938,-75.52118,180.0,top
R78,100,R_0805_2012Metric,113.325938,-81.04618,180.0,top
R79,100,R_0805_2012Metric,117.425938,-81.04618,180.0,top
R80,33k 1%,R_0805_2012Metric,201.525,-68.23,90.0,top
R81,33k 1%,R_0805_2012Metric,201.15,-62.33,-90.0,top
R82,10k,R_0805_2012Metric,151.688438,-74.75868,90.0,top
R83,10k,R_0805_2012Metric,149.488438,-74.75868,90.0,top
R84,10k,R_0805_2012Metric,147.288438,-74.75868,90.0,top
R85,10k,R_0805_2012Metric,145.088438,-74.75868,-90.0,top
R86,10k,R_0805_2012Metric,129.588438,-75.00868,90.0,top
R87,10k,R_0805_2012Metric,127.338438,-75.00868,90.0,top
R88,10k,R_0805_2012Metric,125.088438,-75.00868,90.0,top
R89,10k,R_0805_2012Metric,122.838438,-75.00868,-90.0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,264.5406,-123.6726,180.0,top
U3,6N138,DIL8-SMD,195.5546,-121.3231,0.0,top
U4,LM4040DBZ-10,SOT-23,245.4148,-128.4732,90.0,top
U6,TL072,SO-8_3.9x4.9mm_P1.27mm,254.889,-101.854,90.0,top
U7,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,195.775,-65.225,270.0,top
U8,74HC4051D,SOIC-16_4.55x10.3mm_P1.27mm,215.35,-95.625,0.0,top
U9,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,115.423338,-107.92078,90.0,top
U10,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,159.301838,-108.30178,90.0,top
U11,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,244.35,-85.275,90.0,top
U12,PCA9622,TSSOP-32_6.1x11mm_P0.65mm,137.7696,-86.1568,0.0,top
U13,MCP6002,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm,114.663438,-127.49618,180.0,top
